community,event_count,affected_records,unplanned_records,planned_records,first_event_date,last_event_date,days_since_last_event_at_dataset_end,unplanned_share,frequency_score,recency_score,historical_risk_score,historical_risk_band
Mbongotwini,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Scottburgh,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Southgate Industrial Park,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
KwaKhanyile,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Jacobs,1,1,1,0,2024-12-12,2024-12-12,627,1.0,0.2701492537313433,0.17945905208296484,38.89123424905611,Medium
Cornubia,1,1,1,0,2024-08-25,2024-08-25,736,1.0,0.2701492537313433,0.13312877898702033,37.501326056177774,Medium
Ghandi Hill,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Raj Kumar's Farm,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Flamingo Heights,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
Trurolands,1,1,1,0,2024-07-24,2024-07-24,768,1.0,0.2701492537313433,0.12195421530863895,37.166089145826334,Low
